Artist,Streams,Daily,As lead,Solo,As feature
Dua Lipa,"27,235.7",15.613,"17,797.4","14,127.9","9,438.3"
Daddy Yankee,"27,177.1",13.461,"12,446.0","6,377.9","14,731.1"
Lil Wayne,"26,657.9",11.466,"10,013.0","2,787.0","16,644.9"
David Guetta,"25,236.3",15.439,"18,511.0",900.8,"6,725.3"
Lil Baby,"23,666.8",14.129,"11,599.2","5,314.6","12,067.6"
Anuel AA,"23,660.2",14.711,"10,770.8","3,227.4","12,889.4"
Maroon 5,"23,404.5",10.845,"23,209.5","14,873.4",195.0
21 Savage,"23,084.0",22.288,"9,157.9","4,814.1","13,926.1"
Lil Uzi Vert,"22,742.5",12.372,"14,655.8","11,782.9","8,086.6"
Maluma,"22,723.3",10.115,"12,498.7","7,746.9","10,224.6"
BeyoncÃ©,"21,982.7",13.685,"18,075.1","13,666.3","3,907.7"
Shawn Mendes,"21,909.9",7.467,"21,320.3","16,361.3",589.6
Calvin Harris,"21,862.3",11.971,"20,244.5","3,585.6","1,617.8"
Young Thug,"21,559.8",10.418,"7,363.7","1,862.0","14,196.1"
Sia,"21,305.2",8.156,"14,250.8","10,347.6","7,054.5"
Rauw Alejandro,"21,277.3",17.694,"11,520.5","4,287.6","9,756.8"
Sam Smith,"21,133.7",9.977,"18,066.0","13,576.0","3,067.7"
J. Cole,"21,049.1",12.272,"16,098.4","12,872.9","4,950.8"
Farruko,"20,784.1",8.096,"5,669.1","3,160.4","15,115.0"
Lana Del Rey,"20,052.2",24.470,"18,194.9","16,379.3","1,857.3"
Queen,"19,725.6",10.034,"19,672.9","18,175.4",52.7
Nicky Jam,"19,290.2",5.769,"7,778.5","2,043.5","11,511.7"
Selena Gomez,"19,168.1",10.339,"11,524.9","8,252.6","7,643.2"
Halsey,"19,046.9",6.543,"10,511.3","9,285.6","8,535.6"
Harry Styles,"18,906.5",12.693,"18,906.5","18,906.5",
Lady Gaga,"18,751.7",9.844,"18,352.2","12,142.2",399.4
One Direction,"18,720.4",8.746,"18,720.4","18,638.9",
Ty Dolla $ign,"18,287.2",4.824,"3,924.5",274.6,"14,362.7"
Myke Towers,"18,220.5",17.852,"5,895.9","3,919.5","12,324.6"
Adele,"17,925.9",11.157,"17,883.7","17,759.2",42.2
Doja Cat,"17,786.9",20.793,"14,349.5","9,909.0","3,437.4"
KAROL G,"17,727.4",28.284,"12,291.8","5,550.3","5,435.6"
Wiz Khalifa,"17,567.5",6.237,"8,062.2","3,072.0","9,505.3"
The Chainsmokers,"17,469.2",5.249,"17,050.0","3,069.6",419.1
Shakira,"17,276.3",13.587,"13,128.9","6,087.7","4,147.4"
Cardi B,"17,017.0",5.706,"7,839.0","3,116.5","9,178.0"
Katy Perry,"16,886.0",8.770,"14,672.5","11,129.8","2,213.4"
SZA,"16,794.0",18.200,"10,545.9","7,830.8","6,248.0"
The Beatles,"16,673.3",8.152,"16,671.1","16,667.4",2.2
Marshmello,"16,281.2",7.784,"12,080.8","1,423.6","4,200.4"
Linkin Park,"16,238.3",10.653,"15,044.7","14,056.0","1,193.6"
DaBaby,"15,996.8",4.973,"7,515.4","4,178.9","8,481.4"
Camila Cabello,"15,883.4",5.177,"8,984.0","4,641.2","6,899.4"
Gunna,"15,648.1",12.308,"5,182.6","2,693.8","10,465.5"
Arctic Monkeys,"15,544.5",12.980,"15,544.5","15,544.5",
Miley Cyrus,"15,383.9",13.561,"13,186.6","11,447.9","2,197.3"
JAY-Z,"15,347.1",8.892,"8,356.2","1,897.3","6,990.9"
Avicii,"15,159.7",6.248,"14,182.4","9,442.3",977.3
Kygo,"15,082.1",4.056,"13,455.5",200.9,"1,626.6"
Quavo,"15,034.2",5.361,"1,682.5",619.8,"13,351.7"
A$AP Rocky,"14,747.5",7.272,"7,892.6","3,096.8","6,854.9"
Twenty One Pilots,"14,638.6",4.944,"14,638.6","14,584.0",
Pitbull,"14,622.8",7.536,"9,983.4","1,160.9","4,639.4"
Sech,"14,542.3",5.528,"5,941.1","1,868.5","8,601.3"
Tyga,"13,894.8",4.692,"6,046.3","2,262.1","7,848.5"
Feid,"13,849.1",22.594,"7,068.5","4,073.9","6,780.6"
Jason Derulo,"13,527.6",4.301,"10,326.5","6,209.6","3,201.1"
Metro Boomin,"13,511.3",16.755,"6,514.2",81.6,"6,997.2"
Trippie Redd,"13,401.7",6.329,"8,704.8","4,520.4","4,696.8"
Snoop Dogg,"13,336.3",6.748,"5,090.2","1,201.6","8,246.0"
Demi Lovato,"13,327.0",5.021,"8,456.0","7,445.0","4,871.0"
Red Hot Chili Peppers,"13,261.8",6.860,"13,261.8","13,261.2",
OneRepublic,"13,113.7",7.502,"12,111.1","10,536.2","1,002.6"
Frank Ocean,"13,047.8",8.713,"10,234.5","9,438.5","2,813.3"
"Tyler, The Creator","12,929.5",10.078,"10,802.9","5,630.7","2,126.6"
Bebe Rexha,"12,882.8",5.608,"4,770.2","2,347.7","8,112.6"
Big Sean,"12,706.5",3.141,"5,938.9","1,936.2","6,767.5"
Migos,"12,645.3",3.116,"8,485.2","3,954.5","4,160.1"
A Boogie Wit da Hoodie,"12,581.4",5.764,"8,120.1","4,186.4","4,461.3"
Mac Miller,"12,472.7",8.243,"11,507.2","8,904.8",965.5
Michael Jackson,"12,454.5",7.007,"11,833.5","10,858.8",621.0
Pop Smoke,"12,371.6",6.446,"11,171.0","5,824.4","1,200.6"
Charlie Puth,"12,314.8",6.985,"9,797.4","5,813.4","2,517.4"
Swae Lee,"12,232.1",5.917,367.4,115.4,"11,864.8"
ArcÃ¡ngel,"12,166.7",7.913,"4,521.6",996.2,"7,645.1"
Olivia Rodrigo,"12,161.1",71.896,"12,159.0","10,909.5",2.1
Kodak Black,"11,875.9",6.018,"7,932.9","4,814.6","3,943.1"
Sebastian Yatra,"11,871.2",5.990,"7,742.2","3,201.6","4,128.9"
G-Eazy,"11,803.1",2.831,"8,778.4","1,293.3","3,024.7"
YoungBoy Never Broke Again,"11,759.0",7.439,"8,653.4","7,535.6","3,105.6"
Diplo,"11,661.2",4.255,"3,676.6",29.6,"7,984.7"
Elton John,"11,648.0",7.572,"10,495.4","7,411.9","1,152.6"
TiÃ«sto,"11,578.8",8.118,"9,227.3","2,366.0","2,351.5"
Gucci Mane,"11,487.8",3.637,"5,328.7","1,090.3","6,159.0"
Morgan Wallen,"11,458.9",17.014,"10,257.4","9,632.9","1,201.4"
50 Cent,"11,340.1",7.942,"7,700.9","4,578.1","3,639.2"
2 Chainz,"11,330.1",2.724,"3,379.5",781.2,"7,950.6"
BLACKPINK,"11,302.4",8.962,"10,367.9","9,662.8",934.5
Ellie Goulding,"11,269.1",5.278,"8,233.8","6,312.3","3,035.3"
Alan Walker,"11,264.4",5.445,"9,412.7","3,865.4","1,851.7"
DJ Snake,"11,207.9",3.842,"8,570.1",411.2,"2,637.8"
Metallica,"11,191.1",7.177,"11,148.8","11,025.7",42.3
Lil Peep,"11,055.1",6.600,"10,516.5","6,038.3",538.7
Polo G,"11,035.5",6.831,"7,840.7","5,093.5","3,194.8"
$uicideboy$,"11,033.5",11.912,"10,721.8","8,600.4",311.6
Romeo Santos,"11,032.1",7.247,"7,580.5","4,231.9","3,451.6"
Logic,"10,969.0",2.350,"8,847.4","4,696.1","2,121.6"
Daft Punk,"10,946.3",5.601,"6,646.6","3,968.3","4,299.7"
Manuel Turizo,"10,913.8",9.917,"5,383.3","3,512.9","5,530.5"
P!nk,"10,825.3",5.438,"9,782.0","7,316.9","1,043.4"
Justin Timberlake,"10,819.8",4.943,"7,873.1","5,563.6","2,946.8"
Panic! At The Disco,"10,796.9",3.063,"10,026.8","9,702.3",770.1
Die drei ???,"10,732.1",6.122,"10,732.1","10,707.8",
Sean Paul,"10,726.5",5.755,"5,244.9","2,092.3","5,481.6"
MarÃ­lia MendonÃ§a,"10,654.6",5.314,"7,802.9","5,254.7","2,851.7"
Martin Garrix,"10,626.3",2.812,"9,598.9",936.0,"1,027.4"
Justin Quiles,"10,531.3",3.868,"3,269.3","1,463.7","7,262.0"
Lil Nas X,"10,529.4",3.622,"10,529.4","5,913.2",
Roddy Ricch,"10,464.8",3.588,"4,955.4","3,611.3","5,509.5"
Jhayco,"10,304.0",11.857,"4,255.7",942.9,"6,048.3"
Offset,"10,209.2",3.932,"2,397.2",366.3,"7,812.0"
Major Lazer,"10,170.6",2.570,"8,986.2",32.9,"1,184.3"
Arijit Singh,"10,160.4",23.419,"3,736.1","2,209.7","6,424.2"
AC/DC,"10,124.2",5.824,"10,124.2","10,124.2",
James Arthur,"10,118.9",6.910,"9,091.9","7,993.4","1,027.0"
Tory Lanez,"10,089.6",6.107,"6,261.0","4,068.4","3,828.7"
Playboi Carti,"10,060.6",11.858,"7,317.3","4,722.3","2,743.4"
Pharrell Williams,"10,033.8",4.119,"2,452.6","1,883.4","7,581.3"
blackbear,"10,017.6",2.650,"6,908.1","5,534.1","3,109.4"
Fall Out Boy,"9,978.4",4.786,"8,987.6","8,276.2",990.8
Lenny TavÃ¡rez,"9,951.8",3.964,723.7,143.6,"9,228.2"
John Mayer,"9,872.4",3.146,"9,227.4","8,975.5",645.1
Wisin,"9,831.5",2.552,"3,566.7",488.9,"6,264.8"
Kid Cudi,"9,787.9",4.965,"7,109.3","3,892.3","2,678.6"
Disney,"9,786.7",5.795,,,"9,786.7"
The Neighbourhood,"9,751.9",7.968,"9,747.8","9,380.7",4.1
NF,"9,720.3",5.392,"9,568.0","8,620.8",152.4
Lil Durk,"9,669.3",7.759,"4,046.2","1,744.7","5,623.1"
USHER,"9,629.7",4.440,"6,939.9","3,005.9","2,689.8"
Luis Miguel,"9,536.1",8.025,"9,529.8","9,519.4",6.2
5 Seconds of Summer,"9,490.0",3.823,"8,903.6","8,461.2",586.4
Machine Gun Kelly,"9,484.5",3.217,"8,192.6","3,171.6","1,291.9"
Joji,"9,420.8",5.655,"8,639.4","7,602.6",781.5
Zedd,"9,407.0",2.396,"6,398.1",206.8,"3,008.9"
Chance the Rapper,"9,370.5",2.049,"3,721.7",626.5,"5,648.7"
Robin Schulz,"9,295.7",3.606,"5,551.3",295.3,"3,744.4"
Flo Rida,"9,290.1",4.017,"7,507.9","3,396.4","1,782.3"
Becky G,"9,281.5",4.502,"5,835.5","1,544.0","3,446.1"
Macklemore,"9,200.1",3.488,"2,221.7",317.8,"6,978.4"
Nirvana,"9,195.0",5.892,"9,195.0","9,194.5",
The Kid LAROI,"9,191.1",4.283,"8,060.6","3,283.7","1,130.6"
Britney Spears,"9,182.0",5.334,"7,974.9","7,483.3","1,207.1"
Anne-Marie,"9,167.4",5.072,"3,823.1","2,968.2","5,344.3"
Lauv,"9,157.6",3.760,"8,290.4","5,549.2",867.2
Lewis Capaldi,"9,150.2",5.705,"9,150.2","8,754.5",
ZAYN,"9,133.0",3.069,"8,230.5","4,222.8",902.5
Akon,"9,106.1",5.823,"4,109.3","2,214.6","4,996.8"
Anitta,"9,084.4",3.513,"4,520.3","1,962.0","4,564.2"
Black Eyed Peas,"9,028.8",5.186,"8,732.8","5,993.1",296.0
French Montana,"9,026.4",2.211,"4,393.2",282.4,"4,633.2"
ROSALÃA,"9,012.6",7.167,"6,061.0","3,247.6","2,951.5"
Zion & Lennox,"8,983.4",3.059,"3,314.0","1,654.7","5,669.4"
Luke Combs,"8,970.8",9.468,"8,600.4","8,118.1",370.3
Little Mix,"8,952.3",2.321,"7,730.6","5,610.5","1,221.7"
Zara Larsson,"8,917.1",2.792,"5,954.3","4,408.5","2,962.8"
Duki,"8,908.9",9.168,"4,267.2","1,839.1","4,641.6"
Green Day,"8,891.1",5.746,"8,813.6","8,810.0",77.5
Lil Yachty,"8,879.2",3.684,"3,474.1","1,322.5","5,405.1"
John Legend,"8,849.9",2.612,"5,530.4","4,393.9","3,319.5"
Bizarrap,"8,845.3",9.610,"7,491.0",66.9,"1,354.3"
Camilo,"8,839.2",4.170,"5,343.7","2,430.8","3,495.4"
Don Omar,"8,802.4",7.878,"7,038.2","3,701.4","1,764.2"
DJ Khaled,"8,774.2",2.854,"8,193.3",426.9,580.9
Lil Tjay,"8,771.7",5.164,"5,890.4","3,301.6","2,881.3"
Jorge & Mateus,"8,513.7",4.779,"6,331.2","6,272.6","2,182.5"
Fleetwood Mac,"8,508.1",5.985,"8,508.0","8,507.6",0.1
Skrillex,"8,498.3",3.198,"3,947.9","1,111.7","4,550.4"
Pritam,"8,447.4",15.258,"7,141.5",3.9,"1,305.9"
Bob Marley & The Wailers,"8,397.8",4.808,"8,305.7","7,624.7",92.1
Pink Floyd,"8,383.3",4.034,"8,383.3","8,381.4",
Henrique & Juliano,"8,361.9",7.396,"6,842.1","6,610.0","1,519.8"
Childish Gambino,"8,350.1",4.285,"7,671.6","7,225.3",678.5
2Pac,"8,348.1",5.010,"8,153.3","3,465.5",194.8
Enrique Iglesias,"8,290.5",3.171,"6,880.7","1,986.2","1,409.9"
Rick Ross,"8,244.2",2.693,"2,362.2",567.7,"5,882.0"
Michael BublÃ©,"8,211.0",1.864,"7,846.6","6,781.0",364.4
Guns N' Roses,"8,186.8",4.878,"8,186.8","8,186.8",
Dr. Dre,"8,178.1",4.631,"5,333.0",361.7,"2,845.1"
Meek Mill,"8,143.2",2.231,"5,978.2","1,628.4","2,165.0"
Meghan Trainor,"8,132.5",3.337,"6,565.9","5,209.4","1,566.6"
Ne-Yo,"8,109.1",4.369,"3,958.5","3,467.3","4,150.6"
Ava Max,"8,088.8",4.770,"5,679.1","5,260.8","2,409.7"
Reik,"8,053.9",3.952,"6,757.1","3,260.6","1,296.8"
Megan Thee Stallion,"8,046.4",3.492,"4,754.8","2,843.6","3,291.6"
The Rolling Stones,"8,034.9",3.905,"8,022.1","7,902.2",12.7
Gorillaz,"8,027.6",4.404,"8,025.8","5,051.1",1.9
Florida Georgia Line,"7,957.5",2.362,"5,151.2","3,722.6","2,806.4"
Christian Nodal,"7,951.8",5.676,"5,621.2","4,943.1","2,330.6"
Morat,"7,938.4",7.049,"6,433.3","4,621.6","1,505.1"
Alessia Cara,"7,937.4",2.063,"5,002.2","4,837.5","2,935.2"
Miguel,"7,935.8",4.631,"4,282.2","2,871.0","3,653.5"
Yandel,"7,885.6",5.087,"3,867.4",849.8,"4,018.2"
Clean Bandit,"7,872.2",2.224,"7,650.8",68.3,221.3
Bryson Tiller,"7,865.6",4.370,"5,054.6","4,837.8","2,810.9"
Banda MS de Sergio LizÃ¡rraga,"7,841.8",4.330,"7,268.5","6,826.7",573.3
Mariah Carey,"7,800.8",3.997,"7,114.8","5,860.3",685.9
Jack Harlow,"7,674.4",4.031,"5,246.8","3,127.3","2,427.5"
Russ,"7,572.6",2.986,"7,304.8","6,361.3",267.8
Hozier,"7,560.2",7.187,"7,126.4","6,941.2",433.7
Peso Pluma,"7,553.2",37.826,"3,507.1","1,098.2","4,046.1"
Labrinth,"7,533.4",4.642,"4,793.7","3,702.9","2,739.7"
Kali Uchis,"7,533.3",10.398,"4,271.2","3,077.3","3,262.1"
Darell,"7,516.4",2.730,879.3,161.0,"6,637.1"
Jeremih,"7,514.7",2.014,"3,888.9","1,516.0","3,625.8"
Luis Fonsi,"7,488.8",2.101,"6,637.0","1,020.2",851.8
Gusttavo Lima,"7,468.3",7.232,"6,158.0","5,701.5","1,310.3"
Jonas Blue,"7,463.9",2.489,"6,184.3",31.4,"1,279.6"
Alicia Keys,"7,366.7",3.602,"5,350.1","4,752.2","2,016.6"
Junior H,"7,275.6",18.110,"5,077.4","3,231.2","2,198.1"
Lorde,"7,267.7",3.049,"6,967.5","6,651.0",300.2
YG,"7,239.1",1.905,"3,401.9",873.5,"3,837.2"
Julia Michaels,"7,216.6",2.287,"3,419.3","2,510.4","3,797.3"
Radiohead,"7,194.4",5.890,"7,194.4","7,134.9",
Bastille,"7,160.2",2.741,"4,753.0","4,347.8","2,407.2"
NAV,"7,145.3",2.366,"4,659.6","1,553.2","2,485.6"
Christina Aguilera,"7,122.0",3.135,"4,063.9","3,082.4","3,058.0"
Melanie Martinez,"7,100.9",4.944,"7,100.9","6,987.8",
Wisin & Yandel,"7,089.7",4.616,"4,770.2","2,722.6","2,319.6"
David Bowie,"7,087.7",3.105,"5,658.7","5,535.7","1,429.0"
TWICE,"7,073.0",4.870,"7,024.3","7,002.9",48.8
U2,"7,060.5",3.125,"6,655.8","6,473.9",404.7
Tame Impala,"7,058.1",4.962,"6,560.5","6,473.5",497.6
Jul,"7,056.4",5.831,"5,372.3","4,340.2","1,684.1"
Don Toliver,"7,055.3",7.022,"3,573.5","2,592.5","3,481.9"
Foo Fighters,"7,054.0",4.282,"7,054.0","7,047.6",
Kehlani,"7,036.5",2.164,"3,611.9","2,435.7","3,424.6"
The 1975,"6,965.3",3.573,"6,762.1","6,740.3",203.2
Ninho,"6,949.2",4.514,"4,032.8","3,109.6","2,916.3"
Elvis Presley,"6,943.8",3.707,"6,905.4","6,288.3",38.4
Troye Sivan,"6,889.3",4.096,"4,702.0","3,862.8","2,187.4"
The Notorious B.I.G.,"6,880.2",3.167,"5,810.4","4,242.5","1,069.8"
JhenÃ© Aiko,"6,877.8",3.149,"3,651.3","1,903.3","3,226.5"
System Of A Down,"6,838.8",4.787,"6,838.0","6,827.5",0.8
blink-182,"6,837.4",3.502,"6,736.6","6,703.5",100.9
The Killers,"6,809.7",3.109,"6,809.2","6,661.3",0.5
Dalex,"6,805.6",2.411,"3,140.4",385.6,"3,665.2"
Paulo Londra,"6,790.0",2.896,"5,384.3","4,358.7","1,405.8"
ABBA,"6,773.1",4.925,"6,773.1","6,773.1",
Frank Sinatra,"6,721.2",2.895,"6,526.1","4,879.4",195.0
Tove Lo,"6,672.1",2.189,"4,161.8","3,050.4","2,510.3"
6ix9ine,"6,652.0",1.543,"5,362.0","1,851.3","1,289.9"
Led Zeppelin,"6,604.5",3.070,"6,604.5","6,604.5",
T-Pain,"6,596.8",3.110,"2,796.6",485.0,"3,800.2"
Rita Ora,"6,569.4",1.644,"3,333.9","2,518.9","3,235.6"
Paramore,"6,533.1",3.999,"6,533.1","6,520.9",
Kesha,"6,478.4",2.915,"4,512.8","4,078.1","1,965.5"
Slipknot,"6,451.7",4.055,"6,451.7","6,451.7",
Rae Sremmurd,"6,441.3",1.753,"5,667.5","3,077.6",773.8
Rammstein,"6,428.0",4.422,"6,428.0","6,331.9",
PARTYNEXTDOOR,"6,418.8",3.787,"3,922.1","2,305.1","2,496.8"
NATTI NATASHA,"6,408.7",1.783,"2,781.5",583.7,"3,627.2"
De La Ghetto,"6,396.5",2.822,"1,020.3",310.9,"5,376.2"
Marc Anthony,"6,395.9",2.838,"3,951.7","3,716.6","2,444.2"
Bon Jovi,"6,334.4",3.816,"6,332.6","6,254.1",1.8
Daniel Caesar,"6,325.8",5.363,"4,558.3","2,212.6","1,767.5"
6LACK,"6,309.5",2.213,"3,043.2","2,079.3","3,266.2"
Fetty Wap,"6,299.5",1.222,"3,837.6","2,169.0","2,461.9"
Tainy,"6,289.5",6.188,"2,640.4",,"3,649.2"
Anderson .Paak,"6,287.2",3.339,"2,022.3","1,069.4","4,265.0"
Ãengo Flow,"6,247.0",4.504,"1,176.0",367.7,"5,071.1"
Alok,"6,240.2",3.909,"4,948.4",201.0,"1,291.7"
Chencho Corleone,"6,239.5",4.580,151.1,74.0,"6,088.4"
Madonna,"6,238.4",5.801,"5,787.5","4,816.7",450.9
Bonez MC,"6,168.6",2.594,"3,285.9",678.5,"2,882.8"
T.I.,"6,155.2",2.715,"3,178.2","1,155.5","2,977.0"
Luke Bryan,"6,147.7",3.172,"5,349.7","5,261.5",798.0
Creedence Clearwater Revival,"6,127.3",4.606,"6,127.3","6,123.1",
Muse,"6,106.6",2.490,"6,106.6","6,083.8",
Grupo Firme,"6,077.1",6.954,"4,830.4","1,591.7","1,246.7"
Jennifer Lopez,"6,049.8",2.443,"4,902.2","2,027.1","1,147.7"
Felix Jaehn,"6,038.8",2.504,"2,707.1",45.1,"3,331.7"
Jonas Brothers,"6,010.9",3.716,"4,753.1","4,560.3","1,257.7"
Juicy J,"5,977.6",2.141,"1,299.5",115.6,"4,678.1"
ZÃ© Neto & Cristiano,"5,975.4",4.894,"5,093.1","4,896.5",882.2
The Lumineers,"5,966.5",4.367,"5,939.3","5,925.3",27.3
Natanael Cano,"5,966.0",12.952,"4,185.1","2,277.6","1,780.9"
Rels B,"5,963.3",8.798,"4,939.9","4,037.6","1,023.3"
Oasis,"5,936.2",2.917,"5,936.2","5,935.4",
Niall Horan,"5,917.1",2.692,"4,805.6","4,482.0","1,111.5"
Jack Johnson,"5,877.2",2.369,"5,666.6","5,504.0",210.6
Steve Aoki,"5,871.1",1.672,"3,445.2",11.9,"2,425.8"
Charli XCX,"5,868.9",3.689,"2,845.4","1,707.3","3,023.4"
Ludacris,"5,860.6",3.087,"1,595.9",499.6,"4,264.7"
Hailee Steinfeld,"5,845.8",1.338,"5,282.7","2,155.0",563.1
Eladio Carrion,"5,789.7",9.292,"4,250.2","1,430.2","1,539.5"
Matheus & Kauan,"5,787.3",4.231,"4,632.5","3,341.2","1,154.8"
Wizkid,"5,777.8",3.465,"1,402.4",506.0,"4,375.3"
Jess Glynne,"5,760.9",1.678,"2,449.1","2,149.8","3,311.9"
R3HAB,"5,741.5",2.898,"3,468.4",203.5,"2,273.1"
My Chemical Romance,"5,734.7",3.495,"5,734.7","5,702.8",
Glass Animals,"5,716.6",2.737,"5,705.1","5,279.5",11.6
Lil Tecca,"5,710.2",4.558,"4,879.5","3,838.9",830.7
Bring Me The Horizon,"5,706.9",3.311,"5,359.8","4,791.9",347.1
Kevin Gates,"5,691.1",1.735,"4,836.9","4,211.0",854.3
Mumford & Sons,"5,670.5",1.617,"5,505.0","5,291.7",165.6
Alesso,"5,668.9",2.203,"3,282.2",687.2,"2,386.8"
Bazzi,"5,658.7",1.556,"5,593.7","4,713.7",65.0
MÃ,"5,648.7",1.272,"1,516.9","1,226.0","4,131.8"
Kid Ink,"5,641.8",1.240,"2,489.6",774.4,"3,152.2"
ScHoolboy Q,"5,635.4",1.610,"3,496.3","1,244.7","2,139.2"
RAF Camora,"5,630.8",2.448,"2,345.4","1,136.1","3,285.4"
Piso 21,"5,621.6",2.827,"4,955.4","1,132.0",666.2
Carin Leon,"5,573.1",11.935,"4,203.5","3,145.4","1,369.6"
Quevedo,"5,569.4",13.330,"2,755.1","1,777.3","2,814.4"
Florence + The Machine,"5,565.8",3.115,"5,565.8","5,198.9",
Stray Kids,"5,554.2",7.147,"5,471.5","5,387.3",82.7
Whitney Houston,"5,524.6",2.816,"4,655.2","4,141.8",869.4
Bryant Myers,"5,504.1",3.981,"1,993.9",698.2,"3,510.2"
Mark Ronson,"5,502.9",2.079,"3,927.9",8.9,"1,575.0"
Maria Becerra,"5,496.8",7.925,"1,873.2","1,283.4","3,623.6"
Nickelback,"5,483.2",3.090,"5,483.2","5,442.5",
Sfera Ebbasta,"5,418.2",4.814,"2,288.0","1,466.5","3,130.3"
Prince Royce,"5,410.3",2.192,"4,010.0","2,569.5","1,400.4"
Bruce Springsteen,"5,405.8",2.523,"5,345.8","5,335.9",60.0
League of Legends,"5,403.5",3.040,"2,307.2",332.1,"3,096.3"
Disclosure,"5,396.2",1.672,"5,204.4",541.3,191.8
Cheat Codes,"5,394.0",0.755,"3,523.5",188.6,"1,870.5"
Stevie Wonder,"5,379.2",2.565,"4,992.3","4,822.7",386.8
Alejandro FernÃ¡ndez,"5,378.2",2.747,"5,032.9","4,116.4",345.2
Five Finger Death Punch,"5,375.0",1.979,"5,375.0","5,019.2",
MÃ¥neskin,"5,365.7",5.767,"5,360.0","5,192.1",5.7
ManÃ¡,"5,356.8",3.765,"5,356.3","4,092.4",0.4
Conan Gray,"5,352.1",4.630,"5,203.1","5,203.1",149.0
Mora,"5,324.5",17.252,"4,051.0","1,308.1","1,273.5"
Kane Brown,"5,319.1",2.278,"3,650.0","2,341.6","1,669.2"
Cartel De Santa,"5,317.6",4.159,"4,940.3","3,406.1",377.3
Avril Lavigne,"5,314.8",2.637,"5,208.8","4,943.4",106.0
Brent Faiyaz,"5,313.1",7.603,"3,895.8","3,453.8","1,417.4"
JID,"5,312.6",3.924,"1,392.8",717.5,"3,919.8"
Lizzo,"5,311.1",2.452,"5,181.4","4,211.2",129.7
Kelly Clarkson,"5,295.4",3.075,"5,018.1","4,773.8",277.3
Wesley SafadÃ£o,"5,269.3",2.637,"3,589.2","2,218.3","1,680.2"
Ski Mask The Slump God,"5,266.0",1.858,"3,611.2","2,455.0","1,654.8"
Summer Walker,"5,251.9",4.701,"4,364.5","2,129.1",887.4
The Script,"5,245.4",2.023,"5,225.4","3,995.8",20.0
Kings of Leon,"5,242.0",2.037,"5,242.0","5,227.4",
Maiara & Maraisa,"5,237.6",3.006,"1,983.0","1,635.1","3,254.6"
Vance Joy,"5,224.8",2.603,"5,079.7","4,986.7",145.2
Aventura,"5,205.3",3.941,"5,167.6","3,430.2",37.7
Aerosmith,"5,186.2",2.879,"4,950.7","4,943.9",235.5
Galantis,"5,183.2",1.440,"4,556.3","2,571.1",626.9
iann dior,"5,168.2",1.489,"2,466.8","1,287.4","2,701.4"
NLE Choppa,"5,164.7",4.566,"4,085.8","2,528.1","1,078.9"
Jason Mraz,"5,160.2",1.847,"5,001.0","4,232.6",159.2
Giveon,"5,152.3",3.530,"2,884.1","2,835.8","2,268.2"
Brytiago,"5,137.4",2.461,"1,881.4",131.4,"3,256.0"
Amy Winehouse,"5,129.8",2.431,"4,765.9","4,566.0",364.0
Rex Orange County,"5,113.9",2.360,"4,727.2","4,148.4",386.7
Trey Songz,"5,108.3",1.214,"3,591.8","2,524.7","1,516.5"
Nate Dogg,"5,105.2",2.821,777.2,142.7,"4,327.9"
